Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Transfer_fee
Alou Diarra,Defensive Midfield,25,Lens,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,6250000
Costinha,Defensive Midfield,31,Dinamo Moscow,Premier Liga,Atlético Madrid,LaLiga,2006-2007,6000000
Nikola Zigic,Centre-Forward,25,Red Star,SuperLiga,Racing,LaLiga,2006-2007,6000000
Georgios Seitaridis,Right-Back,25,Dinamo Moscow,Premier Liga,Atlético Madrid,LaLiga,2006-2007,6000000
Ilan,Centre-Forward,25,FC Sochaux,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,6000000
Fernando Navarro,Left-Back,24,FC Barcelona,LaLiga,RCD Mallorca,LaLiga,2006-2007,6000000
Sidi Keita,Defensive Midfield,21,R. Strasbourg,Ligue 2,Lens,Ligue 1,2006-2007,6000000
Javi Martínez,Defensive Midfield,17,CA Osasuna B,2ª B - Grupo III,Athletic Bilbao,LaLiga,2006-2007,6000000
Sébastien Frey,Goalkeeper,26,Parma,Serie A,Fiorentina,Serie A,2006-2007,5750000
Yaya Touré,Central Midfield,23,Olympiacos,Super League,Monaco,Ligue 1,2006-2007,5500000
Fabio Grosso,Left-Back,28,US Palermo,Serie A,Inter,Serie A,2006-2007,5500000
Daniel Moreira,Second Striker,28,Toulouse,Ligue 1,Stade Rennais,Ligue 1,2006-2007,5500000
Mario Santana,Second Striker,24,US Palermo,Serie A,Fiorentina,Serie A,2006-2007,5500000
Fábio Simplício,Central Midfield,26,Parma,Serie A,US Palermo,Serie A,2006-2007,5500000
Souleymane Diawara,Centre-Back,27,FC Sochaux,Ligue 1,Charlton,Premier League,2006-2007,5400000
Cristian Ledesma,Central Midfield,23,Lecce,Serie B,Lazio,Serie A,2006-2007,5300000
Emiliano Bonazzoli,Centre-Forward,27,Parma,Serie A,Sampdoria,Serie A,2006-2007,5250000
Fernando Morientes,Centre-Forward,30,Liverpool,Premier League,Valencia CF,LaLiga,2006-2007,5000000
Aleksandr Kerzhakov,Centre-Forward,24,Zenit S-Pb,Premier Liga,Sevilla FC,LaLiga,2006-2007,5000000
Diego Milito,Centre-Forward,27,Genoa,Serie B,Real Zaragoza,LaLiga,2006-2007,5000000
Benoît Pedretti,Defensive Midfield,25,Olympique Lyon,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,5000000
Lilian Thuram,Centre-Back,34,Juventus,Serie B,FC Barcelona,LaLiga,2006-2007,5000000
Pierre-Alain Frau,Centre-Forward,26,Olympique Lyon,Ligue 1,Paris SG,Ligue 1,2006-2007,5000000
Ricardo Rocha,Centre-Back,28,Benfica,Liga NOS,Spurs,Premier League,2006-2007,5000000
Johan Elmander,Centre-Forward,25,Bröndby IF,Superligaen,Toulouse,Ligue 1,2006-2007,5000000
Benoît Assou-Ekotto,Left-Back,22,Lens,Ligue 1,Spurs,Premier League,2006-2007,5000000
Denílson,Defensive Midfield,18,São Paulo,Série A,Arsenal,Premier League,2006-2007,5000000
Edinson Cavani,Centre-Forward,19,Danubio FC, Uruguay,US Palermo,Serie A,2006-2007,5000000
Riki,Centre-Forward,25,Getafe CF,LaLiga,Dep. La Coruña,LaLiga,2006-2007,4640000
Sébastien Squillaci,Centre-Back,25,Monaco,Ligue 1,Olympique Lyon,Ligue 1,2006-2007,4500000
Olivier Thomert,Left Midfield,26,Lens,Ligue 1,Stade Rennais,Ligue 1,2006-2007,4500000
Paulo André,Centre-Back,22,Atlético-PR,Série A,Le Mans,Ligue 1,2006-2007,4500000
Niko Kranjcar,Attacking Midfield,22,Hajduk Split,1.HNL,Portsmouth,Premier League,2006-2007,4500000
Franck Queudrue,Left-Back,27,Middlesbrough,Premier League,Fulham,Premier League,2006-2007,4500000
Johann Vogel,Defensive Midfield,29,AC Milan,Serie A,Real Betis,LaLiga,2006-2007,4500000
Fitz Hall,Centre-Back,25,Crystal Palace,Championship,Wigan,Premier League,2006-2007,4500000
Yoann Gourcuff,Attacking Midfield,19,Stade Rennais,Ligue 1,AC Milan,Serie A,2006-2007,4500000
Greg Halford,Centre-Back,22,Colchester Utd.,Championship,Reading,Premier League,2006-2007,4500000
Denny Landzaat,Central Midfield,30,AZ Alkmaar,Eredivisie,Wigan,Premier League,2006-2007,4400000
Andy Reid,Left Midfield,23,Spurs,Premier League,Charlton,Premier League,2006-2007,4200000
Calum Davenport,Centre-Back,24,Spurs,Premier League,West Ham,Premier League,2006-2007,4200000
Fábio Santos,Defensive Midfield,26,Cruzeiro,Série A,Olympique Lyon,Ligue 1,2006-2007,4200000
Simone Barone,Central Midfield,28,US Palermo,Serie A,Torino,Serie A,2006-2007,4100000
Milan Bisevac,Centre-Back,23,Red Star,SuperLiga,Lens,Ligue 1,2006-2007,4100000
Jason Roberts,Centre-Forward,28,Wigan,Premier League,Blackburn,Premier League,2006-2007,4080000
Salomon Kalou,Left Winger,20,Feyenoord,Eredivisie,Chelsea,Premier League,2006-2007,4000000
Mista,Centre-Forward,27,Valencia CF,LaLiga,Atlético Madrid,LaLiga,2006-2007,4000000
Péguy Luyindula,Centre-Forward,27,Marseille,Ligue 1,Paris SG,Ligue 1,2006-2007,4000000
Matt Moussilou,Centre-Forward,24,LOSC Lille,Ligue 1,OGC Nice,Ligue 1,2006-2007,4000000
Mariano Pernía,Left-Back,29,Getafe CF,LaLiga,Atlético Madrid,LaLiga,2006-2007,4000000
Andreas Hinkel,Right-Back,24,VfB Stuttgart,1.Bundesliga,Sevilla FC,LaLiga,2006-2007,4000000
Frédéric Thomas,Central Midfield,25,Le Mans,Ligue 1,AJ Auxerre,Ligue 1,2006-2007,4000000
Nenê,Attacking Midfield,24,Alavés,LaLiga2,Celta de Vigo,LaLiga,2006-2007,4000000
Leandro Somoza,Defensive Midfield,25,Vélez Sarsfield,Torneo Final,Villarreal CF,LaLiga,2006-2007,4000000
Álvaro Arbeloa,Right-Back,24,Dep. La Coruña,LaLiga,Liverpool,Premier League,2006-2007,3900000
Massimo Gobbi,Left-Back,26,Treviso,Serie B,Fiorentina,Serie A,2006-2007,3800000
Matthew Kilgallon,Centre-Back,22,Leeds,Championship,Sheffield Utd.,Premier League,2006-2007,3800000
Madjid Bougherra,Centre-Back,24,Sheff Wed,Championship,Charlton,Premier League,2006-2007,3790000
Jimmy Bullard,Central Midfield,27,Wigan,Premier League,Fulham,Premier League,2006-2007,3750000
Benni McCarthy,Centre-Forward,28,FC Porto,Liga NOS,Blackburn,Premier League,2006-2007,3700000
Ronald Zubar,Centre-Back,20,SM Caen,Ligue 2,Marseille,Ligue 1,2006-2007,3500000
Roberto Guana,Central Midfield,25,Brescia,Serie B,US Palermo,Serie A,2006-2007,3500000
Jérémy Ménez,Second Striker,19,FC Sochaux,Ligue 1,Monaco,Ligue 1,2006-2007,3500000
Stefano Mauri,Attacking Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3500000
Diego Rivas,Central Midfield,26,Getafe CF,LaLiga,Real Sociedad,LaLiga,2006-2007,3500000
Claude Davis,Centre-Back,27,Preston NE,Championship,Sheffield Utd.,Premier League,2006-2007,3500000
Rob Hulse,Centre-Forward,26,Leeds,Championship,Sheffield Utd.,Premier League,2006-2007,3450000
Christian Wilhelmsson,Right Winger,26,RSC Anderlecht,Jupiler Pro League,FC Nantes,Ligue 1,2006-2007,3300000
Daniele Bonera,Centre-Back,25,Parma,Serie A,AC Milan,Serie A,2006-2007,3300000
Daniel Niculae,Centre-Forward,23,Rapid Bucharest,Liga 1,AJ Auxerre,Ligue 1,2006-2007,3300000
David Cotterill,Right Winger,18,Bristol City,League One,Wigan,Premier League,2006-2007,3200000
Pasquale Foggia,Attacking Midfield,23,AC Milan,Serie A,Lazio,Serie A,2006-2007,3150000
Johan Micoud,Attacking Midfield,32,Werder Bremen,1.Bundesliga,G. Bordeaux,Ligue 1,2006-2007,3000000
Steed Malbranque,Central Midfield,26,Fulham,Premier League,Spurs,Premier League,2006-2007,3000000
Marco Cassetti,Centre-Back,29,Lecce,Serie B,AS Roma,Serie A,2006-2007,3000000
Andreas Isaksson,Goalkeeper,24,Stade Rennais,Ligue 1,Man City,Premier League,2006-2007,3000000
Boško Jankovic,Right Winger,22,Red Star,SuperLiga,RCD Mallorca,LaLiga,2006-2007,3000000
Robert Green,Goalkeeper,26,Norwich,Championship,West Ham,Premier League,2006-2007,3000000
Bernardo Corradi,Centre-Forward,30,Valencia CF,LaLiga,Man City,Premier League,2006-2007,3000000
Erjon Bogdani,Centre-Forward,29,Siena,Serie A,Chievo Verona,Serie A,2006-2007,3000000
Carlton Cole,Centre-Forward,22,Chelsea,Premier League,West Ham,Premier League,2006-2007,3000000
Amara Diané,Right Winger,23,R. Strasbourg,Ligue 2,Paris SG,Ligue 1,2006-2007,3000000
Cribari,Centre-Back,26,Udinese Calcio,Serie A,Lazio,Serie A,2006-2007,3000000
Yohan Hautcoeur,Central Midfield,24,Le Mans,Ligue 1,Saint-Étienne,Ligue 1,2006-2007,3000000
José Manuel Jurado,Attacking Midfield,20,Real Madrid,LaLiga,Atlético Madrid,LaLiga,2006-2007,3000000
Amdy Fayé,Defensive Midfield,29,Newcastle,Premier League,Charlton,Premier League,2006-2007,3000000
André Ooijer,Centre-Back,32,PSV Eindhoven,Eredivisie,Blackburn,Premier League,2006-2007,3000000
Abdoulaye Fayé,Centre-Back,28,Lens,Ligue 1,Bolton,Premier League,2006-2007,3000000
Nenad Kovacevic,Defensive Midfield,25,Red Star,SuperLiga,Lens,Ligue 1,2006-2007,3000000
Pascal Cygan,Centre-Back,32,Arsenal,Premier League,Villarreal CF,LaLiga,2006-2007,3000000
Clint Dempsey,Second Striker,23,Revolution,MLS,Fulham,Premier League,2006-2007,3000000
Michel Bastos,Left Midfield,22,Atlético-PR,Série A,LOSC Lille,Ligue 1,2006-2007,3000000
Christian Maggio,Right-Back,24,Fiorentina,Serie A,Sampdoria,Serie A,2006-2007,3000000
Zdravko Kuzmanovic,Central Midfield,19,FC Basel,Super League,Fiorentina,Serie A,2006-2007,3000000
Gonzalo Vargas,Centre-Forward,24,Gimnasia,Torneo Final,Monaco,Ligue 1,2006-2007,3000000
Alexis Sánchez,Left Winger,17,Cobreloa, Chile,Udinese Calcio,Serie A,2006-2007,3000000
Bolívar,Centre-Back,25,Internacional,Série A,Monaco,Ligue 1,2006-2007,3000000
Juan Pablo Pino,Right Winger,19,Indep. Medellín, Colombia,Monaco,Ligue 1,2006-2007,3000000
Djimi Traoré,Centre-Back,26,Liverpool,Premier League,Charlton,Premier League,2006-2007,2800000
Aleksandar Lukovic,Centre-Back,23,Red Star,SuperLiga,Udinese Calcio,Serie A,2006-2007,2700000
Gabriel Paletta,Centre-Back,20,CA Banfield,Torneo Final,Liverpool,Premier League,2006-2007,2700000
Luton Shelton,Left Winger,21,Helsingborg,Allsvenskan,Sheffield Utd.,Premier League,2006-2007,2700000
Modeste M'Bami,Defensive Midfield,23,Paris SG,Ligue 1,Marseille,Ligue 1,2006-2007,2500000
Kevin Kilbane,Left Midfield,29,Everton,Premier League,Wigan,Premier League,2006-2007,2500000
Luigi Pieroni,Centre-Forward,26,AJ Auxerre,Ligue 1,FC Nantes,Ligue 1,2006-2007,2500000
Fernando Torres,Centre-Forward,23,Atlético Madrid,LaLiga,Liverpool,Premier League,2007-2008,38000000
Arjen Robben,Right Winger,23,Chelsea,Premier League,Real Madrid,LaLiga,2007-2008,35000000
Anderson,Central Midfield,19,FC Porto,Liga NOS,Man Utd,Premier League,2007-2008,31500000
Pepe,Centre-Back,24,FC Porto,Liga NOS,Real Madrid,LaLiga,2007-2008,30000000
Wesley Sneijder,Attacking Midfield,23,AFC Ajax,Eredivisie,Real Madrid,LaLiga,2007-2008,27000000
